0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
Advanced SQL: Logical Query Processing, Part 2;Course;;;Show more options for Advanced SQL: Logical Query Processing, Part 2;;;Save;;;2h 2m;;;Advanced;;;Sep 2020;;;;;;LinkedIn;;By: Ami Levin;;;
Practice It: Advanced SQL;Course;;;Show more options for Practice It: Advanced SQL;;;Save;;;27m;;;Advanced;;;Mar 2024;;;;;;LinkedIn;;By: Kedeisha Bryan;;;
Implementing a Data Warehouse with Microsoft SQL Server 2012;Course;;;Show more options for Implementing a Data Warehouse with Microsoft SQL Server 2012;;;Save;;;3h 6m;;;Intermediate;;;Mar 2014;;;;;;LinkedIn;;By: Martin Guidry;;;
SQL Server 2014 Essential Training;Course;;;Show more options for SQL Server 2014 Essential Training;;;Save;;;3h 51m;;;Beginner;;;Jun 2015;;;;;;LinkedIn;;By: Martin Guidry;;;
Microsoft SQL Server 2016: Query Data;Course;;;Show more options for Microsoft SQL Server 2016: Query Data;;;Save;;;4h 41m;;;Beginner + Intermediate;;;Jan 2017;;;;;;LinkedIn;;By: Gerry O'Brien;;;
Choose the Right Tool for Your Data: Python, R, or SQL;Course;;;Show more options for Choose the Right Tool for Your Data: Python, R, or SQL;;;Save;;;1h 7m;;;Beginner;;;Sep 2022;;;;;;LinkedIn;;By: Megan Lieu;;;
SAS® 9.4 Cert Prep: Part 07 Using SQL in SAS;Course;;;Show more options for SAS® 9.4 Cert Prep: Part 07 Using SQL in SAS;;;Save;;;16m;;;Intermediate;;;Jan 2020;;;;;;LinkedIn;;By: SAS Institute;;;
SQL Essential Training;Course;Popular;;;Show more options for SQL Essential Training;;;Save;;;;4h 34m;;;;Beginner;Updated 4 months ago;;;;;;LinkedIn;;;By: Walter Shields;
Practice It: SQL Joins;Course;;;Show more options for Practice It: SQL Joins;;;Save;;;56m;;;Intermediate;;;Nov 2022;;;;;;LinkedIn;;By: Nikiya Simpson;;;
Level Up: SQL;Course;;;Show more options for Level Up: SQL;;;Save;;;1h 4m;;;Intermediate;;;Nov 2022;;;;;;LinkedIn;;By: Scott Simpson;;;
SQL Server Database Triggers;Course;;;Show more options for SQL Server Database Triggers;;;Save;;;1h 39m;;;Advanced;;;Aug 2020;;;;;;LinkedIn;;By: Adam Wilbert;;;
Quick Start Guide to SQL;Course;Updated;Popular;;;Show more options for Quick Start Guide to SQL;;;Save;;;;;;1h 28m;;Beginner;;Updated 1 week ago;;;;;;LinkedIn;;By: Deepa Maddala
