0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Hands-On Introduction: SQL;Course;;;Show more options for Hands-On Introduction: SQL;;;Save;;;1h 19m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Deepa Maddala;;;
Advanced PostgreSQL;Course;;;Show more options for Advanced PostgreSQL;;;Save;;;2h 20m;;Advanced;;;Apr 2023;;;;;LinkedIn;;By: Janani Ravi;;;
SQL for Finance Professionals;Course;Updated;Popular;;;Show more options for SQL for Finance Professionals;;;Save;;;;;1h 6m;;Beginner;Updated 1 month ago;;;;;;LinkedIn;;By: Megan Lieu
SQL Practice: Window Functions;Course;;;Show more options for SQL Practice: Window Functions;;;Save;;;12m;;Advanced;;;Sep 2023;;;;;LinkedIn;;By: Scott Simpson;;;
Level Up: SQL;Course;;;Show more options for Level Up: SQL;;;Save;;;1h 4m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Scott Simpson;;;
SAP S/4 HANA Financial Accounting Overview;Course;Popular;;;Show more options for SAP S/4 HANA Financial Accounting Overview;;;Save;;;1h 40m;;;;Intermediate;Jun 2019;;;;;LinkedIn;;;By: Michael Management;
Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 4 Optimize an Azure Cosmos DB Solution by Microsoft Press;Course;Updated;;;Show more options for Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 4 Optimize an Azure Cosmos DB Solution by Microsoft Press;;;Save;;;41m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Microsoft Press and Tim Warner;
Coding Exercises: SQL Data Science;Course;Updated;Popular;;;Show more options for Coding Exercises: SQL Data Science;;;Save;;;;;1h 30m;;Intermediate;Updated 2 weeks ago;;;;;;LinkedIn;;By: Harshit Tyagi
SQL Hands-On Practice: Solve Business Problems;Course;Popular;;;Show more options for SQL Hands-On Practice: Solve Business Problems;;;Save;;;2h 8m;;;;Intermediate;Sep 2023;;;;;LinkedIn;;;By: Jess Ramos;
Cloud NoSQL for SQL Professionals;Course;;;Show more options for Cloud NoSQL for SQL Professionals;;;Save;;;2h 39m;;Intermediate;;;Mar 2020;;;;;LinkedIn;;By: Lynn Langit;;;
Introduction to NoSQL;Course;;;Show more options for Introduction to NoSQL;;;Save;;;29m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: David Jones-Gilardi;;;
Hands-On Generative AI: Getting Started with Vector Search;Course;;;Show more options for Hands-On Generative AI: Getting Started with Vector Search;;;Save;;;55m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Kirsten Hunter;;;
Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 3 Integrate an Azure Cosmos DB Solution by Microsoft Press;Course;Updated;;;Show more options for Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 3 Integrate an Azure Cosmos DB Solution by Microsoft Press;;;Save;;;40m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Microsoft Press and Tim Warner;
.NET Essentials: Working with LINQ;Course;;;Show more options for .NET Essentials: Working with LINQ;;;Save;;;3h 4m;;Intermediate;;;Sep 2020;;;;;LinkedIn;;By: Walt Ritscher;;;
Asset Accounting: Acquisitions in SAP S/4HANA;Course;;;Show more options for Asset Accounting: Acquisitions in SAP S/4HANA;;;Save;;;1h 45m;;Intermediate;;;Apr 2021;;;;;LinkedIn;;By: Michael Management;;;
Nano Tips for Acing Your SQL Interview with Nick Singh;Course;;;Show more options for Nano Tips for Acing Your SQL Interview with Nick Singh;;;Save;;;12m;;General;;;Oct 2023;;;;;LinkedIn;;By: Nick Singh;;;
Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 2 Design and Implement Data Distribution by Microsoft Press;Course;Updated;;;Show more options for Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 2 Design and Implement Data Distribution by Microsoft Press;;;Save;;;32m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Microsoft Press and Tim Warner;
Introduction to Cassandra;Course;;;Show more options for Introduction to Cassandra;;;Save;;;1h 8m;;Beginner;;;Updated Mar 2024;;;;;LinkedIn;;By: Kirsten Hunter;;;
SQL Practice: Basic Queries;Course;Popular;;;Show more options for SQL Practice: Basic Queries;;;Save;;;17m;;;;Beginner;Sep 2023;;;;;LinkedIn;;;By: David Gassner;
Build Streaming Ingestion Pipelines for Snowflake with AWS;Course;;;Show more options for Build Streaming Ingestion Pipelines for Snowflake with AWS;;;Save;;;50m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: Sagar Suri;;;
SQL Essential Training;Course;Popular;;;Show more options for SQL Essential Training;;;Save;;;4h 34m;;;;Beginner;Updated 4 months ago;;;;;LinkedIn;;;By: Walter Shields;
Learning phpMyAdmin;Course;;;Show more options for Learning phpMyAdmin;;;Save;;;5h 26m;;Beginner + Intermediate;;;Updated Feb 2016;;;;;LinkedIn;;By: David Powers;;;
Spring: Spring Batch;Course;;;Show more options for Spring: Spring Batch;;;Save;;;4h 21m;;Intermediate;;;Apr 2020;;;;;LinkedIn;;By: Kevin Bowersox;;;
Using SQL with C++;Course;;;Show more options for Using SQL with C++;;;Save;;;1h 27m;;Intermediate;;;Aug 2021;;;;;LinkedIn;;By: Bill Weinman;;;
Intermediate SQL: Data Reporting and Analysis;Course;;;Show more options for Intermediate SQL: Data Reporting and Analysis;;;Save;;;2h 11m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Emma Saunders;;;
AWS Certified Database – Specialty (DBS-C01)  Cert Prep: 2 Design and Deployment;Course;;;Show more options for AWS Certified Database – Specialty (DBS-C01)  Cert Prep: 2 Design and Deployment;;;Save;;;2h 7m;;Intermediate;;;Aug 2020;;;;;LinkedIn;;By: Tom Carpenter;;;
