0;1;2;3;4;5
Machine-Learning;Machine Learning and AI: Advanced Decision Trees with SPSS;2017-06-19;66158;Work toward a mastery of machine learning by exploring advanced decision tree algorithm concepts. Learn about the QUEST and C5.0 algorithms and a few advanced topics.;['Decision Trees', 'Machine Learning']
Machine-Learning;Spark for Machine Learning & AI;2017-11-07;57857;Discover the powerful Apache Spark platform for machine learning. Learn about preprocessing data, applying algorithms to a variety of machine learning problems, and more.;['Apache Spark ML']
Machine-Learning;Cognitive Technologies: The Real Opportunities for Business;2019-01-16;146144;Learn the benefits and business value of cognitive technologies such as artificial intelligence and robotics.;['Artificial Intelligence for Business', 'Cognitive Automation']
Machine-Learning;Machine Learning Fundamentals for Healthcare;2024-07-11;8843;Get an introduction to the fundamentals of machine learning and AI in this course designed for healthcare professionals.;['Healthcare Information Technology (HIT)', 'Machine Learning']
Machine-Learning;Learning H20.ai;2023-06-06;1115;Explore some of the most powerful features, applications, and solutions offered by H20.ai, the creator of the H20 AI Cloud platform.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Time Series Modeling in Excel, R, and Power BI;2023-03-23;17008;Take a deep dive into advanced data analytics methods by learning how to run time series models in Excel, R, and Power BI.;['Time Series Analysis', 'Microsoft Power BI', 'R (Programming Language)', 'Machine Learning', 'Microsoft Excel']
Machine-Learning;Security Risks in AI and Machine Learning: Categorizing Attacks and Failure Modes;2022-02-23;13528;Learn how and why machine learning and artificial intelligence technology fails and understand ways to make these systems more secure and resilient.;['Machine Learning', 'Artificial Intelligence (AI)', 'Security Risk']
Machine-Learning;AI Show: Intelligent Recommendations;2023-05-03;1324;On this episode of the AI Show, learn what intelligent recommendations are, how they work, and what you can do with them.;['Artificial Intelligence (AI)', 'Recommender Systems']
Machine-Learning;Complete Guide to AI and Data Science for SQL Developers: From Beginner to Advanced;2024-01-04;6612;Learn how to use SQL for AI and data science. Practice what you learn with Codespaces and a capstone project.;['Applied Machine Learning', 'SQL', 'Artificial Intelligence (AI)']
Machine-Learning;ML.NET: Getting Started;2021-06-16;3092;Learn to use ML.NET to build machine learning models.;['.NET Framework', 'Machine Learning']
Machine-Learning;Advanced Predictive Modeling: Mastering Ensembles and Metamodeling;2019-04-04;15170;Learn how to use ensembles and metamodeling to create more accurate predictive models.;['Predictive Modeling']
Machine-Learning;Essentials of MLOps with Azure: 2 Databricks MLflow and MLflow Tracking;2022-09-08;2742;Learn about the basics of tracking, get into the details of why you need to track your models in production, and do some telemetry.;['MLOps', 'Azure Databricks', 'Microsoft Azure']
Machine-Learning;Complete Guide to Python Fundamentals for MLOps;2024-09-27;0;Master Python for efficient machine learning operations by building strong programming foundations, creating MLOps automation, and gaining applicable experience.;['MLOps', 'Python (Programming Language)']
